epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,336.605,0.57075,0.51328,1.05321,0.95321,0.96,0.98085,0.84104,0.55299,0.42256,1.1452,0.0011882,0.0011882,0.0011882
43,344.839,0.55215,0.48518,1.04106,0.94994,0.97714,0.97504,0.8273,0.5576,0.44433,1.11823,0.0011684,0.0011684,0.0011684
44,352.944,0.53022,0.46249,1.02697,0.95467,0.97143,0.97064,0.82874,0.54503,0.41442,1.10724,0.0011486,0.0011486,0.0011486
45,361.694,0.51355,0.46136,1.02855,0.96234,0.96571,0.97694,0.84271,0.53903,0.39855,1.09557,0.0011288,0.0011288,0.0011288
46,369.483,0.52413,0.47711,1.04124,0.955,0.97025,0.97946,0.82656,0.57239,0.44646,1.10624,0.001109,0.001109,0.001109
47,378.138,0.52151,0.46297,1.02445,0.93402,0.9707,0.97077,0.82567,0.54818,0.41557,1.07956,0.0010892,0.0010892,0.0010892
48,387.164,0.50715,0.4529,1.01934,0.929,0.95429,0.9594,0.81392,0.5811,0.46415,1.15352,0.0010694,0.0010694,0.0010694
49,395.702,0.53287,0.46513,1.04623,0.94829,0.96,0.98146,0.82613,0.5871,0.43502,1.14659,0.0010496,0.0010496,0.0010496
50,404.267,0.53459,0.44325,1.03396,0.92793,0.9565,0.96938,0.82373,0.56184,0.45966,1.0968,0.0010298,0.0010298,0.0010298
51,412.341,0.5116,0.449,1.02414,0.94537,0.94857,0.97502,0.83612,0.53887,0.42409,1.11119,0.00101,0.00101,0.00101
52,420.163,0.4885,0.43006,1.01726,0.95427,0.97143,0.98307,0.82375,0.54162,0.41688,1.09835,0.0009902,0.0009902,0.0009902
53,427.374,0.52547,0.46517,1.04023,0.9767,0.95834,0.98854,0.88067,0.4794,0.36418,1.03042,0.0009704,0.0009704,0.0009704
54,434.939,0.49591,0.43418,1.00877,0.96715,0.93714,0.98684,0.87823,0.47472,0.40789,1.02916,0.0009506,0.0009506,0.0009506
55,442.73,0.5248,0.46518,1.03153,0.94939,0.96477,0.97962,0.8552,0.51849,0.40872,1.10853,0.0009308,0.0009308,0.0009308
56,450.337,0.49894,0.43142,1.01616,0.94932,0.96331,0.98032,0.86542,0.48737,0.40007,1.04227,0.000911,0.000911,0.000911
57,457.748,0.47431,0.4016,1.00046,0.96251,0.96571,0.98482,0.85361,0.51659,0.40651,1.07117,0.0008912,0.0008912,0.0008912
58,465.41,0.48617,0.49875,1.00218,0.94322,0.97143,0.9805,0.86077,0.50243,0.37547,1.06941,0.0008714,0.0008714,0.0008714
59,472.905,0.4775,0.40641,1.01175,0.98736,0.97143,0.99287,0.84154,0.54646,0.35869,1.10538,0.0008516,0.0008516,0.0008516
60,480.744,0.47079,0.41009,1.01085,0.96545,0.95802,0.98177,0.81094,0.59229,0.40683,1.12131,0.0008318,0.0008318,0.0008318
61,488.439,0.48285,0.43941,1.0067,0.95215,0.96,0.98084,0.83035,0.54399,0.42264,1.09372,0.000812,0.000812,0.000812
62,496.047,0.47933,0.41193,1.0131,0.94881,0.96,0.97523,0.83639,0.50951,0.38302,1.07815,0.0007922,0.0007922,0.0007922
63,503.587,0.51085,0.41473,1.0367,0.93735,0.94043,0.97361,0.85612,0.48364,0.39094,1.06406,0.0007724,0.0007724,0.0007724
64,511.285,0.48284,0.42073,1.00242,0.96107,0.94857,0.97919,0.85716,0.50072,0.36702,1.08466,0.0007526,0.0007526,0.0007526
65,518.807,0.47665,0.41825,1.00024,0.95724,0.96571,0.98038,0.84515,0.48731,0.38201,1.07484,0.0007328,0.0007328,0.0007328
66,526.41,0.46086,0.39847,0.99786,0.9467,0.96,0.97429,0.86603,0.4756,0.3677,1.0612,0.000713,0.000713,0.000713
67,534.115,0.46137,0.38205,1.0029,0.97026,0.96571,0.97954,0.86927,0.47681,0.33719,1.05638,0.0006932,0.0006932,0.0006932
68,541.698,0.44063,0.36862,0.9865,0.94965,0.96995,0.98232,0.87135,0.46798,0.35457,1.02259,0.0006734,0.0006734,0.0006734
69,549.527,0.45282,0.37916,0.997,0.94372,0.97143,0.98297,0.85185,0.48671,0.3521,1.07847,0.0006536,0.0006536,0.0006536
70,557.174,0.45446,0.36653,0.97762,0.96508,0.96571,0.98702,0.85329,0.47206,0.32398,1.06775,0.0006338,0.0006338,0.0006338
71,564.837,0.44681,0.37056,0.97837,0.98272,0.97521,0.98531,0.86967,0.46615,0.32166,1.03723,0.000614,0.000614,0.000614
72,572.642,0.41698,0.35972,0.97077,0.95478,0.96522,0.9789,0.85614,0.47434,0.34852,1.06549,0.0005942,0.0005942,0.0005942
73,580.494,0.42455,0.35303,0.97131,0.95645,0.96,0.97961,0.85884,0.48655,0.37316,1.08389,0.0005744,0.0005744,0.0005744
74,588.174,0.46076,0.36681,1.01002,0.96495,0.97143,0.98495,0.88258,0.45709,0.31905,1.03392,0.0005546,0.0005546,0.0005546
75,595.645,0.43549,0.35491,0.97744,0.97125,0.96513,0.98402,0.8896,0.45603,0.33038,1.04318,0.0005348,0.0005348,0.0005348
76,603.367,0.42963,0.35298,0.97375,0.96146,0.96,0.97684,0.87081,0.46995,0.31991,1.05627,0.000515,0.000515,0.000515
77,611.735,0.42261,0.35657,0.97909,0.97904,0.95429,0.98305,0.8842,0.42877,0.32432,1.01586,0.0004952,0.0004952,0.0004952
78,619.799,0.42883,0.34196,0.98578,0.96361,0.95429,0.97893,0.89218,0.41798,0.34394,1.00685,0.0004754,0.0004754,0.0004754
79,627.539,0.40912,0.36398,0.96804,0.94305,0.97143,0.97684,0.87995,0.44051,0.36147,1.02867,0.0004556,0.0004556,0.0004556
80,635.59,0.41723,0.35602,0.98047,0.95428,0.96,0.96904,0.88467,0.42392,0.34032,1.0166,0.0004358,0.0004358,0.0004358
